label,run_id,exit_code,start,end,wall_seconds,objective_mode,actual_horizon_days,n_combos,is_best_oos_ir,is_best_oos_ar,is_best_oos_mdd,is_best_oos_cr,oracle_oos_ir,oracle_oos_ar,oracle_oos_mdd,oracle_oos_cr
A02_flash_seed04,20260515_151705_A02_flash_seed04,0,2026-05-15 15:17:05,2026-05-15 15:49:26,1941,calmar,5,14,-1.7551628583871564,-0.34648466150260265,-0.431237331867218,,-0.2986066771205779,-0.08657584083227471,-0.2893081981624876,
A02_flash_seed03,20260515_151705_A02_flash_seed03,0,2026-05-15 15:17:05,2026-05-15 15:54:04,2219,calmar,5,5,-1.0683559781739689,-0.3136045219191653,-0.42029007311720656,,-0.14072890108471275,-0.040489091199217855,-0.12043292757039076,
A02_flash_seed05,20260515_151705_A02_flash_seed05,0,2026-05-15 15:17:05,2026-05-15 15:58:41,2496,calmar,5,27,-1.0767229242676963,-0.21632491371366713,-0.3596143980026245,,0.3562468747568604,0.0954695661097397,-0.29578017377853394,
A02_flash_seed02,20260515_151705_A02_flash_seed02,0,2026-05-15 15:17:05,2026-05-15 16:06:24,2959,calmar,4,6,-1.245648256642845,-0.2666793202451227,-0.3695541973114014,,-0.3804495435994195,-0.08970793312470289,-0.18161884368301334,
A02_flash_seed01,20260515_151705_A02_flash_seed01,143,2026-05-15 15:17:05,2026-05-15 18:01:52,9887,calmar,5,50,-0.9144135858926707,-0.24741883035353676,-0.31784944343566895,,-0.2694090868968457,-0.08080628356815857,-0.3106188757419586,
