label,run_id,exit_code,start,end,wall_seconds,objective_mode,actual_horizon_days,n_combos,is_best_oos_ir,is_best_oos_ar,is_best_oos_mdd,is_best_oos_cr,oracle_oos_ir,oracle_oos_ar,oracle_oos_mdd,oracle_oos_cr
C02_volcomp_sN_calmar,20260514_201130_C02_volcomp_sN_calmar,0,2026-05-14 20:11:30,2026-05-14 22:08:21,7011,calmar,5,111,-0.9040241182631147,-0.22316946055180492,-0.36393970764253225,,0.439658746911806,0.1127296004785922,-0.2761491713523865,
C05_volcomp_e0_ir,20260514_214716_C05_volcomp_e0_ir,0,2026-05-14 21:47:16,2026-05-14 22:33:51,2795,ir,5,13,-0.5507444240976016,-0.12103214734146789,-0.3107654209136963,,-0.13688220529291278,-0.034657661746068276,-0.28074280786514283,
C07_volcomp_pr05_ir,20260514_220007_C07_volcomp_pr05_ir,0,2026-05-14 22:00:07,2026-05-14 22:43:00,2573,ir,5,11,-1.1843893767712,-0.24060981990672925,-0.36263429069519043,,-0.6849830717221935,-0.15409169277536527,-0.2692419466972351,
C06_volcomp_e0_calmar,20260514_215226_C06_volcomp_e0_calmar,0,2026-05-14 21:52:26,2026-05-14 22:48:49,3383,calmar,5,35,-0.4789327050507815,-0.10947731737639191,-0.31689864945411683,,1.2560514608641729,0.38179573477181217,-0.2550238199234009,
C08_volcomp_pr05_calmar,20260514_220827_C08_volcomp_pr05_calmar,0,2026-05-14 22:08:27,2026-05-14 22:53:33,2706,calmar,5,10,-1.8543452626069024,-0.4216130442344602,-0.5013350694179535,,-0.22458571572289893,-0.05470000131826839,-0.3460331846285267,
B09_compressed_t70_ir,20260514_194208_B09_compressed_t70_ir,0,2026-05-14 19:42:08,2026-05-14 22:55:40,11612,ir,5,141,-1.383355139418821,-0.2803543075318199,-0.36843242025375367,,-0.35683193894363663,-0.08253396728565336,-0.24413606119155884,
C10_volcomp_t70_calmar,20260514_224309_C10_volcomp_t70_calmar,0,2026-05-14 22:43:09,2026-05-14 23:13:49,1840,calmar,5,19,-1.1270928793851158,-0.22746832587787644,-0.33431577682495117,,-0.8613564272572932,-0.1856028159217416,-0.28620582588513693,
C09_volcomp_t70_ir,20260514_223359_C09_volcomp_t70_ir,0,2026-05-14 22:33:59,2026-05-14 23:14:25,2426,ir,3,13,-1.6767880814797689,-0.37187969314119945,-0.4565392336845398,,-0.4236108685494522,-0.09727552936597125,-0.3626123070716858,
D05_volumespike_default_calmar,20260514_231431_D05_volumespike_default_calmar,0,2026-05-14 23:14:31,2026-05-14 23:39:57,1526,calmar,5,9,-0.9969255977871079,-0.23636976629193104,-0.3722433772007625,,-0.31519164281226636,-0.09935208655558406,-0.3101991467674375,
D03_gapfill_e1_calmar,20260514_225540_D03_gapfill_e1_calmar,0,2026-05-14 22:55:40,2026-05-14 23:44:05,2905,calmar,2,27,-0.8923186049146441,-0.25563035297459213,-0.46418895737330124,,0.12596390970582305,0.033594517567520715,-0.12694304132461548,
D06_volumespike_s07_calmar,20260514_234003_D06_volumespike_s07_calmar,0,2026-05-14 23:40:03,2026-05-14 23:57:41,1058,calmar,5,8,-1.0889292736733125,-0.2760630476320395,-0.3680467039028804,,-0.4895403473329652,-0.1304329289408025,-0.18709595868097215,
D04_gapfill_pr06_calmar,20260514_231351_D04_gapfill_pr06_calmar,0,2026-05-14 23:13:51,2026-05-14 23:59:15,2724,calmar,2,34,-0.8194655430183462,-0.2280361330312957,-0.44829073580106105,,0.19769241317137567,0.07668151171989072,-0.22654688910643261,
D07_volumespike_e1_calmar,20260514_234413_D07_volumespike_e1_calmar,0,2026-05-14 23:44:13,2026-05-15 00:12:43,1710,calmar,5,9,-1.0640585580177686,-0.3060322107831392,-0.48028300063538865,,0.40146476797143177,0.11933503968389804,-0.13601175779569552,
D08_volumespike_pr06_calmar,20260514_235744_D08_volumespike_pr06_calmar,0,2026-05-14 23:57:44,2026-05-15 00:20:38,1374,calmar,5,4,-0.19620694466505859,-0.06267181321295859,-0.3929458598693212,,-0.19620694466505859,-0.06267181321295859,-0.3929458598693212,
D09_oversold_default_calmar,20260514_235924_D09_oversold_default_calmar,0,2026-05-14 23:59:24,2026-05-15 00:44:30,2706,calmar,5,12,-1.269796807540147,-0.3805008907789066,-0.504442659854889,,0.16440564158827986,0.058328825584927475,-0.30914519609212876,
D10_oversold_s07_calmar,20260515_001245_D10_oversold_s07_calmar,0,2026-05-15 00:12:45,2026-05-15 00:55:59,2594,calmar,6,15,-1.27434524493659,-0.26610349344324186,-0.34243972873687745,,0.23750823059279325,0.06843780584453063,-0.32360209318796795,
D02_gapfill_s07_calmar,20260514_225340_D02_gapfill_s07_calmar,0,2026-05-14 22:53:40,2026-05-15 00:59:41,7561,calmar,2,180,-0.5169654103879796,-0.12481962095072242,-0.2802285308837891,,0.8345719462999069,0.22951367798165526,-0.2384502387046814,
D01_gapfill_default_calmar,20260514_224850_D01_gapfill_default_calmar,0,2026-05-14 22:48:50,2026-05-15 01:00:16,7886,calmar,2,195,0.25534316030212634,0.09846672522214381,-0.26570577531428563,,1.4942439492428898,0.6202042731213454,-0.20586309039592743,
D11_oversold_e1_calmar,20260515_002046_D11_oversold_e1_calmar,0,2026-05-15 00:20:46,2026-05-15 01:07:49,2823,calmar,6,12,-1.3305347544060127,-0.26719629246904036,-0.3665556745529175,,-0.221683059831259,-0.06900133105494781,-0.25995670350874317,
D12_oversold_pr06_calmar,20260515_004437_D12_oversold_pr06_calmar,0,2026-05-15 00:44:37,2026-05-15 01:30:09,2732,calmar,6,19,-0.3143798747070173,-0.07830351972776188,-0.1756222014427185,,-0.3143798747070173,-0.07830351972776188,-0.1756222014427185,
F03_panic_anchor_irmddpen,20260515_010018_F03_panic_anchor_irmddpen,0,2026-05-15 01:00:18,2026-05-15 01:36:52,2194,ir_minus_mdd,3,14,-1.4316142625027002,-0.2792716742543036,-0.3626123070716858,,0.20450056063163866,0.060672893932326805,-0.38037001752853394,
F04_paper_anchor_irmddpen,20260515_010759_F04_paper_anchor_irmddpen,0,2026-05-15 01:07:59,2026-05-15 01:40:40,1961,ir_minus_mdd,5,26,-2.059627639740438,-0.542328187952905,-0.6740706482240131,,0.0935699556407248,0.028282369218340046,-0.24816549840408758,
G01_panic_s07_calmar,20260515_013010_G01_panic_s07_calmar,0,2026-05-15 01:30:10,2026-05-15 01:51:18,1268,calmar,3,7,-0.642119238405452,-0.1561952823994091,-0.30017097783088686,,-0.642119238405452,-0.1561952823994091,-0.30017097783088686,
F02_volcomp_anchor_irmddpen,20260515_005948_F02_volcomp_anchor_irmddpen,0,2026-05-15 00:59:48,2026-05-15 01:56:15,3387,ir_minus_mdd,5,5,-1.0194899311447982,-0.24074292721113877,-0.4234419736862183,,-1.0194899311447982,-0.24074292721113877,-0.4234419736862183,
G03_paper_s05_calmar,20260515_014041_G03_paper_s05_calmar,0,2026-05-15 01:40:41,2026-05-15 02:24:59,2658,calmar,5,18,-0.7259172942500512,-0.19203965476053084,-0.4108257920742035,,-0.11875725139288863,-0.03650032857127306,-0.310713925798132,
G02_panic_sN_calmar,20260515_013701_G02_panic_sN_calmar,0,2026-05-15 01:37:01,2026-05-15 02:25:14,2893,calmar,3,31,-1.3570681288951858,-0.2689741504692737,-0.3593792600631714,,-0.9354137198018899,-0.20606629363597667,-0.36110468649864197,
F01_compressed_anchor_irmddpen,20260515_005608_F01_compressed_anchor_irmddpen,0,2026-05-15 00:56:08,2026-05-15 02:34:52,5924,ir_minus_mdd,5,113,-1.2243265184481447,-0.28087793884159606,-0.35550960087776184,,0.04808468176584097,0.012368593789929461,-0.3000348271803935,
G04_paper_s07_calmar,20260515_015122_G04_paper_s07_calmar,0,2026-05-15 01:51:22,2026-05-15 02:40:42,2960,calmar,5,11,-0.8162141160155131,-0.22353077113619987,-0.404456027097476,,-0.2696229430406063,-0.06749293471266002,-0.3047102801799774,
