label,run_id,exit_code,start,end,wall_seconds,objective_mode,actual_horizon_days,n_combos,is_best_oos_ir,is_best_oos_ar,is_best_oos_mdd,is_best_oos_cr,oracle_oos_ir,oracle_oos_ar,oracle_oos_mdd,oracle_oos_cr
SP_M02_compressed_A02,20260516_002616_SP_M02_compressed_A02,0,2026-05-16 00:26:16,2026-05-16 00:45:45,1169,calmar,3,6,-0.4952210423301258,-0.13758155492948812,-0.25009395570603626,,-0.4952210423301258,-0.13758155492948812,-0.25009395570603626,
SP_M03_volcomp_A02,20260516_002616_SP_M03_volcomp_A02,0,2026-05-16 00:26:16,2026-05-16 00:59:40,2004,calmar,5,6,-0.29032873209594556,-0.07663916804631678,-0.2767479319591307,,-0.04850837273333384,-0.01718535210083853,-0.28701767089586183,
SP_M01_paper_A02,20260516_002616_SP_M01_paper_A02,0,2026-05-16 00:26:16,2026-05-16 01:00:17,2041,calmar,3,32,-0.6121593421607698,-0.12949440465164183,-0.38416061449050903,,0.862761728000263,0.2706250149412594,-0.13337018501758574,
SP_M04_panic_A02,20260516_002616_SP_M04_panic_A02,0,2026-05-16 00:26:16,2026-05-16 01:44:30,4694,calmar,3,120,-1.6658239636540977,-0.45936761341349275,-0.587579049070676,,1.04795970833947,0.2651122731177012,-0.141244554122289,
