label,run_id,exit_code,start,end,wall_seconds,n_combos,is_best_oos_ir,is_best_oos_ar,oracle_oos_ir,oracle_oos_ar
A13_volcomp_h5_S1_gpt4o,20260512_005116_A13_volcomp_h5_S1_gpt4o,0,2026-05-12 00:51:16,2026-05-12 01:54:04,3768,4,-1.5691089580104758,-0.42518396332234515,0.05042343169566669,0.015337814640115785
B01_stoploss_005_S1_gpt4o,20260512_005116_B01_stoploss_005_S1_gpt4o,0,2026-05-12 00:51:16,2026-05-12 02:26:03,5687,40,-1.649202667288226,-0.45623004805758144,0.38755289072602117,0.1420778662043725
A15_volcomp_h20_S1_gpt4o,20260512_015410_A15_volcomp_h20_S1_gpt4o,1,2026-05-12 01:54:10,2026-05-12 04:01:17,7627,60,-0.23851159249480106,-0.06341597247321962,-0.09516000821753944,-0.02797453950253136
B04_thr_07_095_S1_gpt4o,20260512_005116_B04_thr_07_095_S1_gpt4o,0,2026-05-12 00:51:16,2026-05-12 04:31:09,13193,106,-0.2092902254224359,-0.06555552125644296,0.12461377038097632,0.03508839643017905
