run_id,outer_iter,hypothesis_id,backtest_mode,horizon_days,in_sample_period,out_sample_period,combo_idx,mode,threshold_q,optimal_thresholds,universe,region,qlib_market,provider_uri,benchmark_code,mean,std,annualized_return,information_ratio,max_drawdown,net_return
20260205_071052,outer_iter_1,BH_C_UptrendPullback_20D_v1,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,5,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.000763524837726287,0.016629475779987635,0.18171891137885632,0.7083258459498356,-0.36932212114334106,1.1394209226381053
20260206_002735,root,BH_MR_Exhaustion_5D_v1,qlib_native,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,13,fixed_q95,0.95,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006661956278231751,0.014780212141260407,0.15855455942191568,0.6953598150093554,-0.2646538318558662,0.9682045974093321
20260206_142717,outer_iter_5,BH_MR_Exhaustion_6D_v5,qlib_legacy,6.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,121,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0010244012730444088,0.022756143724919218,0.2438075029845693,0.6944802826653542,-0.5574601322815234,1.5400144423576156
20260206_142717,outer_iter_3,BH_MR_Exhaustion_5D_v3,qlib_legacy,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,75,optuna,,"{'formula015': 0.6, 'formula010': 0.55, 'formula006': 0.65, 'formula002': 0.55, 'formula008_v1': 0.7}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0006740303928123446,0.015580486777329587,0.160419233489338,0.667401127854847,-0.3415726721422969,0.954390288849158
20260205_013521,outer_iter_1,TH_Uptrend_Pullback_10D_v1,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,42,fixed_q90,0.9,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0008391641431231318,0.01940579384916289,0.19972106606330536,0.667120034873641,-0.465790330488455,1.2025770852856401
20260205_033043,outer_iter_2,BH_CT_Uptrend_Volume_Pullback_15D_v2,qlib_native,15.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,6,optuna,,"{'formula009': 0.75, 'formula011': 0.75, 'formula004': 0.55, 'formula001': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007069971098250488,0.016813967526033206,0.16826531213836163,0.6486880726032027,-0.37162482717929896,0.9840471186557918
20260207_051736,outer_iter_1,BH_Continuation_Breakout_5D_v1,qlib_legacy,5.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,51,optuna,,"{'formula003': 0.9, 'formula008': 0.65, 'formula010': 0.6, 'formula004': 0.65, 'formula015': 0.7}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0005871395943752053,0.013999074346665289,0.13973922346129886,0.6470391022352043,-0.22235100394619153,0.8091823295147103
20260205_093008,outer_iter_2,BH_BR_PullbackSupport_10D_v2,qlib_native,10.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,7,optuna,,"{'formula004_v2': 0.55, 'formula003': 0.65, 'formula008': 0.7, 'formula012': 0.6}",cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0008382113391988858,0.020065153527246925,0.19949429872933483,0.6444652770196135,-0.5218587698665434,1.1690845536847911
20260205_071333,outer_iter_1,BH_Continuation_Pullback_21D_v1,qlib_native,21.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,23,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007960236723269145,0.01956174437473998,0.18945363401380566,0.6277791420626829,-0.3821648955345154,1.0911011527379006
20260205_071333,outer_iter_1,BH_Continuation_Pullback_21D_v1,qlib_native,21.0,2015-01-01 ~ 2020-12-31,2021-01-01 ~ 2025-12-31,20,fixed_q80,0.8,,cn,cn,csi500,~/.qlib/qlib_data/cn_data,SH000905,0.0007957015401573516,0.019561992097374907,0.18937696655744968,0.6275171478779275,-0.3821648955345154,1.090273578987449
