experiment,csv,region,n_days,CR,AR,IR,MDD,mean,std
backtest_csv,/home/dgu/fin/others/02_agent/AlphaForge/out/backtest_csv/timeseries_test_2019_10_inf_0.csv,,1235,0.9650345856062801,0.14778824679555758,0.8665494549042019,-0.23286182215048667,0.0006093345947387697,0.011162532920307493
test_csi500_2019_0,/home/dgu/fin/others/02_agent/AlphaForge/out/test_csi500_2019_0/timeseries_valid_2019_10_inf_0.csv,cn,242,0.1514189135555002,0.1581469375539184,0.8207019236945515,-0.13689596103363744,0.0006684338901127403,0.012929248415779202
backtest_csv,/home/dgu/fin/others/02_agent/AlphaForge/out/backtest_csv/timeseries_valid_2019_10_inf_0.csv,,252,0.227613887359428,0.227613887359428,0.6846622095090201,-0.39123166772612594,0.0012097071265464042,0.028048145537573982
test_csi500_2019_0,/home/dgu/fin/others/02_agent/AlphaForge/out/test_csi500_2019_0/timeseries_test_2019_10_inf_0.csv,cn,1179,-0.0545435755243624,-0.011916591756909178,0.02309367878703627,-0.4453628713640322,1.6560477175776154e-05,0.011383609671819112
